term,source_table,term_col,journal_key,period,count,doc_count,doc_pct,keyness_score,pct_point_lift,candidate_review_status,suggested_semantic_family,manual_note,term_norm,term_norm_for_refinement,refined_audit_category,refined_audit_reason,include_in_refined_semantic_review,refinement_source_table,manual_override,manual_override_note,term_norm_final_cleanup,final_cleanup_category,final_cleanup_reason,include_in_final_semantic_review,final_cleanup_source_table
childhood,global_core_terms_after_audit,,,,1195,763,6.2726,,,pending,,,childhood,childhood,candidate_concept,kept_for_semantic_review,True,discriminative_candidate_terms,,,childhood,final_keep,kept_after_final_cleanup,True,discriminative_candidate_terms
adult,global_core_terms_after_audit,,,,1188,739,6.0753,,,pending,,,adult,adult,candidate_concept,kept_for_semantic_review,True,discriminative_candidate_terms,,,adult,final_keep,kept_after_final_cleanup,True,discriminative_candidate_terms
context,global_core_terms_after_audit,,,,1181,945,7.7688,,,pending,,,context,context,candidate_concept,kept_for_semantic_review,True,discriminative_candidate_terms,,,context,final_exclude,final_stop_term,False,discriminative_candidate_terms
following,global_core_terms_after_audit,,,,1176,1032,8.4841,,,pending,,,following,following,candidate_concept,kept_for_semantic_review,True,discriminative_candidate_terms,,,following,final_exclude,final_stop_term,False,discriminative_candidate_terms
female,global_core_terms_after_audit,,,,1170,488,4.0118,,,pending,,,female,female,candidate_concept,kept_for_semantic_review,True,discriminative_candidate_terms,,,female,final_keep,kept_after_final_cleanup,True,discriminative_candidate_terms
implications,global_core_terms_after_audit,,,,1170,831,6.8316,,,pending,,,implications,implications,candidate_concept,kept_for_semantic_review,True,discriminative_candidate_terms,,,implications,final_keep,kept_after_final_cleanup,True,discriminative_candidate_terms
scientific,global_core_terms_after_audit,,,,1166,724,5.952,,,pending,,,scientific,scientific,candidate_concept,kept_for_semantic_review,True,discriminative_candidate_terms,,,scientific,final_keep,kept_after_final_cleanup,True,discriminative_candidate_terms
psychodynamic,global_core_terms_after_audit,,,,1166,487,4.0036,,,pending,,,psychodynamic,psychodynamic,candidate_concept,kept_for_semantic_review,True,discriminative_candidate_terms,,,psychodynamic,final_keep,kept_after_final_cleanup,True,discriminative_candidate_terms
himself,global_core_terms_after_audit,,,,1164,865,7.1111,,,pending,,,himself,himself,candidate_concept,kept_for_semantic_review,True,discriminative_candidate_terms,,,himself,final_exclude,final_stop_term,False,discriminative_candidate_terms
fantasy,global_core_terms_after_audit,,,,1161,586,4.8175,,,pending,,,fantasy,fantasy,candidate_concept,kept_for_semantic_review,True,discriminative_candidate_terms,,,fantasy,final_keep,protected_psychoanalytic_term,True,discriminative_candidate_terms
affect,global_core_terms_after_audit,,,,1157,607,4.9901,,,pending,,,affect,affect,candidate_concept,kept_for_semantic_review,True,discriminative_candidate_terms,,,affect,final_keep,kept_after_final_cleanup,True,discriminative_candidate_terms
factors,global_core_terms_after_audit,,,,1149,782,6.4288,,,pending,,,factors,factors,candidate_concept,kept_for_semantic_review,True,discriminative_candidate_terms,,,factors,final_exclude,final_stop_term,False,discriminative_candidate_terms
issue,global_core_terms_after_audit,,,,1146,745,6.1246,,,pending,,,issue,issue,candidate_concept,kept_for_semantic_review,True,discriminative_candidate_terms,,,issue,final_exclude,final_stop_term,False,discriminative_candidate_terms
attempt,global_core_terms_after_audit,,,,1129,950,7.8099,,,pending,,,attempt,attempt,candidate_concept,kept_for_semantic_review,True,discriminative_candidate_terms,,,attempt,final_keep,kept_after_final_cleanup,True,discriminative_candidate_terms
loss,global_core_terms_after_audit,,,,1121,667,5.4834,,,pending,,,loss,loss,candidate_concept,kept_for_semantic_review,True,discriminative_candidate_terms,,,loss,final_keep,kept_after_final_cleanup,True,discriminative_candidate_terms
father,global_core_terms_after_audit,,,,1120,573,4.7106,,,pending,,,father,father,candidate_concept,kept_for_semantic_review,True,discriminative_candidate_terms,,,father,final_keep,kept_after_final_cleanup,True,discriminative_candidate_terms
contribution,global_core_terms_after_audit,,,,1117,702,5.7711,,,pending,,,contribution,contribution,candidate_concept,kept_for_semantic_review,True,discriminative_candidate_terms,,,contribution,final_keep,kept_after_final_cleanup,True,discriminative_candidate_terms
medical,global_core_terms_after_audit,,,,1115,777,6.3877,,,pending,,,medical,medical,candidate_concept,kept_for_semantic_review,True,discriminative_candidate_terms,,,medical,final_keep,kept_after_final_cleanup,True,discriminative_candidate_terms
gender,global_core_terms_after_audit,,,,1114,440,3.6172,,,pending,,,gender,gender,candidate_concept,kept_for_semantic_review,True,discriminative_candidate_terms,,,gender,final_keep,protected_psychoanalytic_term,True,discriminative_candidate_terms
feelings,global_core_terms_after_audit,,,,1108,792,6.511,,,pending,,,feelings,feelings,candidate_concept,kept_for_semantic_review,True,discriminative_candidate_terms,,,feelings,final_keep,kept_after_final_cleanup,True,discriminative_candidate_terms
play,global_core_terms_after_audit,,,,1108,633,5.2039,,,pending,,,play,play,candidate_concept,kept_for_semantic_review,True,discriminative_candidate_terms,,,play,final_keep,kept_after_final_cleanup,True,discriminative_candidate_terms
