rank_within_group,period,term,term_col,n_docs_group,n_docs_rest,group_doc_count,rest_doc_count,group_doc_pct,rest_doc_pct,pct_point_lift,ratio_lift,keyness_score,term_norm_for_refinement,refined_audit_category,refined_audit_reason,include_in_refined_semantic_review,refinement_source_table,manual_override,manual_override_note,term_norm_final_cleanup,final_cleanup_category,final_cleanup_reason,include_in_final_semantic_review,final_cleanup_source_table
2,1946-1969,meeting american,terms_bigram,1743,10421,91,106,5.2209,1.0172,4.2037,5.1342,19.008273,meeting american,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_period,,,meeting american,final_keep,kept_after_final_cleanup,True,key_bigrams_by_period
3,1946-1969,anna freud,terms_bigram,1743,10421,74,119,4.2456,1.1419,3.1036,3.7256,13.39988,anna freud,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_period,,,anna freud,final_keep,kept_after_final_cleanup,True,key_bigrams_by_period
5,1946-1969,pointed out,terms_bigram,1743,10421,69,128,3.9587,1.2283,2.7304,3.2321,11.600104,pointed out,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_period,,,pointed out,final_keep,kept_after_final_cleanup,True,key_bigrams_by_period
6,1946-1969,acting out,terms_bigram,1743,10421,62,102,3.5571,0.9788,2.5783,3.6439,10.682214,acting out,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_period,,,acting out,final_keep,kept_after_final_cleanup,True,key_bigrams_by_period
8,1946-1969,international psycho-analytical,terms_bigram,1743,10421,58,80,3.3276,0.7677,2.5599,4.3427,10.438151,international psycho-analytical,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_period,,,international psycho-analytical,final_keep,kept_after_final_cleanup,True,key_bigrams_by_period
9,1946-1969,annual meeting,terms_bigram,1743,10421,49,37,2.8112,0.3551,2.4562,7.8882,9.608682,annual meeting,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_period,,,annual meeting,final_keep,kept_after_final_cleanup,True,key_bigrams_by_period
11,1946-1969,ego functions,terms_bigram,1743,10421,50,54,2.8686,0.5182,2.3504,5.5373,9.241492,ego functions,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_period,,,ego functions,final_keep,kept_after_final_cleanup,True,key_bigrams_by_period
12,1946-1969,object relationships,terms_bigram,1743,10421,52,75,2.9834,0.7197,2.2637,4.1554,8.987397,object relationships,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_period,,,object relationships,final_keep,kept_after_final_cleanup,True,key_bigrams_by_period
13,1946-1969,ego psychology,terms_bigram,1743,10421,50,81,2.8686,0.7773,2.0913,3.7029,8.222787,ego psychology,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_period,,,ego psychology,final_keep,kept_after_final_cleanup,True,key_bigrams_by_period
14,1946-1969,melanie klein,terms_bigram,1743,10421,54,129,3.0981,1.2379,1.8602,2.515,7.454528,melanie klein,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_period,,,melanie klein,final_keep,kept_after_final_cleanup,True,key_bigrams_by_period
15,1946-1969,ernest jones,terms_bigram,1743,10421,47,94,2.6965,0.902,1.7945,3.0038,6.946775,ernest jones,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_period,,,ernest jones,final_keep,kept_after_final_cleanup,True,key_bigrams_by_period
