rank_within_group,journal_key,period,term,term_col,n_docs_group,n_docs_rest,group_doc_count,rest_doc_count,group_doc_pct,rest_doc_pct,pct_point_lift,ratio_lift,keyness_score
5,ijpa,1970-1989,object relationships,terms_bigram,915,11249,29,98,3.1694,0.8712,2.2982,3.6783,7.816667
6,ijpa,1970-1989,transference neurosis,terms_bigram,915,11249,29,101,3.1694,0.8979,2.2715,3.5695,7.72596
7,ijpa,1970-1989,points view,terms_bigram,915,11249,27,83,2.9508,0.7378,2.213,4.0449,7.37409
8,ijpa,1970-1989,summary describes,terms_bigram,915,11249,20,9,2.1858,0.08,2.1058,26.5025,6.41111
9,ijpa,1970-1989,medical center,terms_bigram,915,11249,30,160,3.2787,1.4223,1.8563,2.3339,6.374647
10,ijpa,1970-1989,psychic structure,terms_bigram,915,11249,25,109,2.7322,0.969,1.7633,2.8601,5.744889
11,ijpa,1970-1989,self object,terms_bigram,915,11249,23,80,2.5137,0.7112,1.8025,3.5853,5.7284
12,ijpa,1970-1989,take place,terms_bigram,915,11249,26,139,2.8415,1.2357,1.6059,2.3331,5.292668
13,ijpa,1970-1989,anna freud,terms_bigram,915,11249,27,166,2.9508,1.4757,1.4751,2.0285,4.915445
14,ijpa,1970-1989,acting out,terms_bigram,915,11249,25,139,2.7322,1.2357,1.4966,2.245,4.875986
15,ijpa,1970-1989,attempt made,terms_bigram,915,11249,21,93,2.2951,0.8267,1.4683,2.8241,4.538707
16,ijpa,1970-1989,oedipus complex,terms_bigram,915,11249,29,212,3.1694,1.8846,1.2848,1.705,4.369814
17,ijpa,1970-1989,pointed out,terms_bigram,915,11249,26,171,2.8415,1.5201,1.3214,1.8977,4.355102
18,ijpa,1970-1989,mental life,terms_bigram,915,11249,25,160,2.7322,1.4223,1.3099,1.9513,4.267754
19,ijpa,1970-1989,narcissistic personality,terms_bigram,915,11249,17,44,1.8579,0.3911,1.4668,4.8299,4.239533
20,ijpa,1970-1989,cambridge mass,terms_bigram,915,11249,16,30,1.7486,0.2667,1.4819,6.6442,4.198662
21,ijpa,1970-1989,ego superego,terms_bigram,915,11249,20,92,2.1858,0.8179,1.3679,2.7219,4.16473
22,ijpa,1970-1989,aires argentina,terms_bigram,915,11249,18,65,1.9672,0.5778,1.3894,3.4689,4.090956
23,ijpa,1970-1989,aggressive drives,terms_bigram,915,11249,15,20,1.6393,0.1778,1.4616,9.2861,4.052279
