term,source_table,term_col,journal_key,period,count,doc_count,doc_pct,keyness_score,pct_point_lift,candidate_review_status,suggested_semantic_family,manual_note,term_norm
glen gabbard,global_core_bigrams_after_audit,,,,220,71,0.5837,,,pending,,,glen gabbard
pointed out,global_core_bigrams_after_audit,,,,214,197,1.6195,,,pending,,,pointed out
medical center,global_core_bigrams_after_audit,,,,210,190,1.562,,,pending,,,medical center
international journal,global_core_bigrams_after_audit,,,,209,157,1.2907,,,pending,,,international journal
psychic structure,global_core_bigrams_after_audit,,,,209,134,1.1016,,,pending,,,psychic structure
international psycho-analytical,global_core_bigrams_after_audit,,,,206,138,1.1345,,,pending,,,international psycho-analytical
meeting american,global_core_bigrams_after_audit,,,,206,197,1.6195,,,pending,,,meeting american
gender identity,global_core_bigrams_after_audit,,,,205,77,0.633,,,pending,,,gender identity
free association,global_core_bigrams_after_audit,,,,203,121,0.9947,,,pending,,,free association
mental functioning,global_core_bigrams_after_audit,,,,201,154,1.266,,,pending,,,mental functioning
therapeutic alliance,global_core_bigrams_after_audit,,,,200,91,0.7481,,,pending,,,therapeutic alliance
consulting room,global_core_bigrams_after_audit,,,,199,141,1.1592,,,pending,,,consulting room
therapeutic relationship,global_core_bigrams_after_audit,,,,196,140,1.1509,,,pending,,,therapeutic relationship
stephen seligman,global_core_bigrams_after_audit,,,,196,44,0.3617,,,pending,,,stephen seligman
death instinct,global_core_bigrams_after_audit,,,,194,93,0.7646,,,pending,,,death instinct
steven cooper,global_core_bigrams_after_audit,,,,194,52,0.4275,,,pending,,,steven cooper
northern california,global_core_bigrams_after_audit,,,,193,170,1.3976,,,pending,,,northern california
primal scene,global_core_bigrams_after_audit,,,,191,80,0.6577,,,pending,,,primal scene
adrienne harris,global_core_bigrams_after_audit,,,,190,69,0.5672,,,pending,,,adrienne harris
stephen mitchell,global_core_bigrams_after_audit,,,,190,135,1.1098,,,pending,,,stephen mitchell
leo rangell,global_core_bigrams_after_audit,,,,188,49,0.4028,,,pending,,,leo rangell
park west,global_core_bigrams_after_audit,,,,187,185,1.5209,,,pending,,,park west
edward glover,global_core_bigrams_after_audit,,,,183,46,0.3782,,,pending,,,edward glover
conscious unconscious,global_core_bigrams_after_audit,,,,182,164,1.3482,,,pending,,,conscious unconscious
unconscious fantasy,global_core_bigrams_after_audit,,,,180,93,0.7646,,,pending,,,unconscious fantasy
early childhood,global_core_bigrams_after_audit,,,,179,143,1.1756,,,pending,,,early childhood
peter fonagy,global_core_bigrams_after_audit,,,,179,67,0.5508,,,pending,,,peter fonagy
take place,global_core_bigrams_after_audit,,,,176,165,1.3565,,,pending,,,take place
pleasure principle,global_core_bigrams_after_audit,,,,174,119,0.9783,,,pending,,,pleasure principle
object relationships,global_core_bigrams_after_audit,,,,174,127,1.0441,,,pending,,,object relationships
author argues,global_core_bigrams_after_audit,,,,173,162,1.3318,,,pending,,,author argues
lewis aron,global_core_bigrams_after_audit,,,,173,56,0.4604,,,pending,,,lewis aron
roy schafer,global_core_bigrams_after_audit,,,,171,46,0.3782,,,pending,,,roy schafer
ego ideal,global_core_bigrams_after_audit,,,,169,70,0.5755,,,pending,,,ego ideal
past present,global_core_bigrams_after_audit,,,,162,114,0.9372,,,pending,,,past present
psycho-analytical society,global_core_bigrams_after_audit,,,,160,104,0.855,,,pending,,,psycho-analytical society
personality organization,global_core_bigrams_after_audit,,,,160,71,0.5837,,,pending,,,personality organization
psychic change,global_core_bigrams_after_audit,,,,160,62,0.5097,,,pending,,,psychic change
nyu postdoctoral,global_core_bigrams_after_audit,,,,159,140,1.1509,,,pending,,,nyu postdoctoral
external reality,global_core_bigrams_after_audit,,,,158,119,0.9783,,,pending,,,external reality
repetition compulsion,global_core_bigrams_after_audit,,,,156,72,0.5919,,,pending,,,repetition compulsion
interpretation dreams,global_core_bigrams_after_audit,,,,155,96,0.7892,,,pending,,,interpretation dreams
self object,global_core_bigrams_after_audit,,,,155,103,0.8468,,,pending,,,self object
center training,global_core_bigrams_after_audit,,,,155,131,1.0769,,,pending,,,center training
takes place,global_core_bigrams_after_audit,,,,153,145,1.192,,,pending,,,takes place
external world,global_core_bigrams_after_audit,,,,153,119,0.9783,,,pending,,,external world
associate editor,global_core_bigrams_after_audit,,,,153,141,1.1592,,,pending,,,associate editor
lauren levine,global_core_bigrams_after_audit,,,,153,43,0.3535,,,pending,,,lauren levine
latest issue,global_core_bigrams_after_audit,,,,151,51,0.4193,,,pending,,,latest issue
one's own,global_core_bigrams_after_audit,,,,150,125,1.0276,,,pending,,,one's own
rachel blass,global_core_bigrams_after_audit,,,,150,46,0.3782,,,pending,,,rachel blass
notification latest,global_core_bigrams_after_audit,,,,150,50,0.411,,,pending,,,notification latest
issue online,global_core_bigrams_after_audit,,,,150,50,0.411,,,pending,,,issue online
internal objects,global_core_bigrams_after_audit,,,,149,101,0.8303,,,pending,,,internal objects
female sexuality,global_core_bigrams_after_audit,,,,146,65,0.5344,,,pending,,,female sexuality
inner world,global_core_bigrams_after_audit,,,,145,115,0.9454,,,pending,,,inner world
columbia center,global_core_bigrams_after_audit,,,,144,119,0.9783,,,pending,,,columbia center
object relationship,global_core_bigrams_after_audit,,,,143,90,0.7399,,,pending,,,object relationship
ego functions,global_core_bigrams_after_audit,,,,143,104,0.855,,,pending,,,ego functions
west end,global_core_bigrams_after_audit,,,,141,140,1.1509,,,pending,,,west end
editor dialogues,global_core_bigrams_after_audit,,,,141,140,1.1509,,,pending,,,editor dialogues
internal external,global_core_bigrams_after_audit,,,,140,127,1.0441,,,pending,,,internal external
assistant professor,global_core_bigrams_after_audit,,,,139,131,1.0769,,,pending,,,assistant professor
joyce slochower,global_core_bigrams_after_audit,,,,138,33,0.2713,,,pending,,,joyce slochower
reflective functioning,global_core_bigrams_after_audit,,,,138,44,0.3617,,,pending,,,reflective functioning
object representations,global_core_bigrams_after_audit,,,,137,86,0.707,,,pending,,,object representations
author describes,global_core_bigrams_after_audit,,,,137,130,1.0687,,,pending,,,author describes
death drive,global_core_bigrams_after_audit,,,,137,64,0.5261,,,pending,,,death drive
steven roose,global_core_bigrams_after_audit,,,,137,37,0.3042,,,pending,,,steven roose
gender sexuality,global_core_bigrams_after_audit,,,,137,120,0.9865,,,pending,,,gender sexuality
alanson white,global_core_bigrams_after_audit,,,,137,122,1.003,,,pending,,,alanson white
defence mechanisms,global_core_bigrams_after_audit,,,,135,85,0.6988,,,pending,,,defence mechanisms
judy kantrowitz,global_core_bigrams_after_audit,,,,135,35,0.2877,,,pending,,,judy kantrowitz
william alanson,global_core_bigrams_after_audit,,,,135,120,0.9865,,,pending,,,william alanson
body image,global_core_bigrams_after_audit,,,,134,58,0.4768,,,pending,,,body image
harvard medical,global_core_bigrams_after_audit,,,,134,130,1.0687,,,pending,,,harvard medical
donnel stern,global_core_bigrams_after_audit,,,,134,39,0.3206,,,pending,,,donnel stern
child adolescent,global_core_bigrams_after_audit,,,,133,103,0.8468,,,pending,,,child adolescent
unconscious fantasies,global_core_bigrams_after_audit,,,,133,93,0.7646,,,pending,,,unconscious fantasies
fred busch,global_core_bigrams_after_audit,,,,133,34,0.2795,,,pending,,,fred busch
points view,global_core_bigrams_after_audit,,,,132,110,0.9043,,,pending,,,points view
sense self,global_core_bigrams_after_audit,,,,132,102,0.8385,,,pending,,,sense self
ego superego,global_core_bigrams_after_audit,,,,131,112,0.9207,,,pending,,,ego superego
internal object,global_core_bigrams_after_audit,,,,131,88,0.7234,,,pending,,,internal object
common ground,global_core_bigrams_after_audit,,,,130,62,0.5097,,,pending,,,common ground
world war,global_core_bigrams_after_audit,,,,129,110,0.9043,,,pending,,,world war
john steiner,global_core_bigrams_after_audit,,,,129,35,0.2877,,,pending,,,john steiner
carried out,global_core_bigrams_after_audit,,,,128,123,1.0112,,,pending,,,carried out
jacob arlow,global_core_bigrams_after_audit,,,,128,40,0.3288,,,pending,,,jacob arlow
defense mechanisms,global_core_bigrams_after_audit,,,,128,65,0.5344,,,pending,,,defense mechanisms
defence against,global_core_bigrams_after_audit,,,,127,95,0.781,,,pending,,,defence against
author discusses,global_core_bigrams_after_audit,,,,127,124,1.0194,,,pending,,,author discusses
south africa,global_core_bigrams_after_audit,,,,127,64,0.5261,,,pending,,,south africa
