journal_key,period,semantic_family,n_articles_initial,pct_articles_group_initial,n_articles_group_initial,n_articles_refined,pct_articles_group_refined,n_articles_group_refined,delta_pct_refined_minus_initial,absolute_pct_drop,relative_retention_pct
japa,1970-1989,object_relations,213,31.2775,681,153.0,22.467,681.0,-8.8105,8.8105,71.83
japa,1970-1989,kleinian_bionian,5,0.7342,681,5.0,0.7342,681.0,0.0,0.0,100.0
japa,1970-1989,winnicottian_environment_holding,97,14.2438,681,14.0,2.0558,681.0,-12.188,12.188,14.43
japa,1970-1989,attachment_development_infant,264,38.7665,681,159.0,23.348,681.0,-15.4185,15.4185,60.23
japa,1970-1989,transference_countertransference,134,19.6769,681,134.0,19.6769,681.0,0.0,0.0,100.0
japa,1970-1989,technique_interpretation_process,180,26.4317,681,152.0,22.3201,681.0,-4.1116,4.1116,84.44
japa,1970-1989,relational_intersubjective_field,133,19.5301,681,74.0,10.8664,681.0,-8.6637,8.6637,55.64
japa,1970-1989,trauma_dissociation_affect_regulation,175,25.6975,681,75.0,11.0132,681.0,-14.6843,14.6843,42.86
japa,1970-1989,psychosis_borderline_primitive_states,61,8.9574,681,35.0,5.1395,681.0,-3.8179,3.8179,57.38
japa,1970-1989,body_sexuality_gender,112,16.4464,681,96.0,14.0969,681.0,-2.3495,2.3495,85.71
japa,1970-1989,language_narrative_symbolization,128,18.7959,681,75.0,11.0132,681.0,-7.7827,7.7827,58.59
japa,1970-1989,culture_race_social_ethics,80,11.7474,681,12.0,1.7621,681.0,-9.9853,9.9853,15.0
japa,1970-1989,empirical_research_measurement,96,14.0969,681,62.0,9.1043,681.0,-4.9926,4.9926,64.58
japa,1970-1989,history_theory_schools,219,32.1586,681,28.0,4.1116,681.0,-28.047,28.047,12.79
japa,1990-2009,drive_conflict_defense,352,36.1026,975,352.0,36.1026,975.0,0.0,0.0,100.0
japa,1990-2009,dream_fantasy_unconscious,293,30.0513,975,192.0,19.6923,975.0,-10.359,10.359,65.53
japa,1990-2009,ego_self_narcissism,339,34.7692,975,130.0,13.3333,975.0,-21.4359,21.4359,38.35
japa,1990-2009,object_relations,194,19.8974,975,131.0,13.4359,975.0,-6.4615,6.4615,67.53
japa,1990-2009,kleinian_bionian,17,1.7436,975,17.0,1.7436,975.0,0.0,0.0,100.0
japa,1990-2009,winnicottian_environment_holding,122,12.5128,975,18.0,1.8462,975.0,-10.6666,10.6666,14.75
japa,1990-2009,attachment_development_infant,341,34.9744,975,186.0,19.0769,975.0,-15.8975,15.8975,54.55
japa,1990-2009,transference_countertransference,200,20.5128,975,200.0,20.5128,975.0,0.0,0.0,100.0
japa,1990-2009,technique_interpretation_process,288,29.5385,975,239.0,24.5128,975.0,-5.0257,5.0257,82.99
japa,1990-2009,relational_intersubjective_field,301,30.8718,975,192.0,19.6923,975.0,-11.1795,11.1795,63.79
japa,1990-2009,trauma_dissociation_affect_regulation,289,29.641,975,132.0,13.5385,975.0,-16.1025,16.1025,45.67
japa,1990-2009,psychosis_borderline_primitive_states,54,5.5385,975,35.0,3.5897,975.0,-1.9488,1.9488,64.81
japa,1990-2009,body_sexuality_gender,172,17.641,975,146.0,14.9744,975.0,-2.6666,2.6666,84.88
japa,1990-2009,language_narrative_symbolization,204,20.9231,975,144.0,14.7692,975.0,-6.1539,6.1539,70.59
japa,1990-2009,culture_race_social_ethics,168,17.2308,975,54.0,5.5385,975.0,-11.6923,11.6923,32.14
japa,1990-2009,empirical_research_measurement,196,20.1026,975,149.0,15.2821,975.0,-4.8205,4.8205,76.02
japa,1990-2009,history_theory_schools,254,26.0513,975,40.0,4.1026,975.0,-21.9487,21.9487,15.75
japa,2010-2025,drive_conflict_defense,174,23.8356,730,174.0,23.8356,730.0,0.0,0.0,100.0
japa,2010-2025,dream_fantasy_unconscious,197,26.9863,730,111.0,15.2055,730.0,-11.7808,11.7808,56.35
japa,2010-2025,ego_self_narcissism,238,32.6027,730,82.0,11.2329,730.0,-21.3698,21.3698,34.45
japa,2010-2025,object_relations,145,19.863,730,90.0,12.3288,730.0,-7.5342,7.5342,62.07
japa,2010-2025,kleinian_bionian,33,4.5205,730,33.0,4.5205,730.0,0.0,0.0,100.0
japa,2010-2025,winnicottian_environment_holding,122,16.7123,730,13.0,1.7808,730.0,-14.9315,14.9315,10.66
japa,2010-2025,attachment_development_infant,237,32.4658,730,102.0,13.9726,730.0,-18.4932,18.4932,43.04
japa,2010-2025,transference_countertransference,100,13.6986,730,100.0,13.6986,730.0,0.0,0.0,100.0
japa,2010-2025,technique_interpretation_process,163,22.3288,730,122.0,16.7123,730.0,-5.6165,5.6165,74.85
japa,2010-2025,relational_intersubjective_field,233,31.9178,730,148.0,20.274,730.0,-11.6438,11.6438,63.52
